date_local,parameter,arithmetic_mean,aqi
2018-08-25,Ozone,0.038789000000000004,43.0
2018-08-26,Ozone,0.029961933333333326,37.6
2018-08-27,Ozone,0.032926533333333334,43.2
2018-08-28,Ozone,0.027835833333333334,36.0
2018-08-29,Ozone,0.023884083333333334,32.75
2018-08-30,Ozone,0.0230996,35.6
2018-08-31,Ozone,0.02380173333333334,32.8
2018-09-01,Ozone,0.021846800000000003,30.2
2018-09-02,Ozone,0.022366999999999995,31.0
2018-09-03,Ozone,0.019676066666666665,27.2
2018-09-04,Ozone,0.022197333333333333,28.4
2018-09-05,Ozone,0.018596833333333333,28.25
2018-09-06,Ozone,0.02350608333333333,31.0
2018-09-07,Ozone,0.023694083333333334,36.75
2018-09-08,Ozone,0.02271325,31.0
2018-09-09,Ozone,0.01389675,16.25
2018-09-10,Ozone,0.0148615,19.3
2018-09-11,Ozone,0.01596077777777778,25.0
2018-09-12,Ozone,0.021140111111111113,34.333333333333336
2018-09-13,Ozone,0.02077655555555556,36.666666666666664
2018-09-14,Ozone,0.03578855555555556,41.0
2018-09-15,Ozone,0.02549633333333333,32.22222222222222
2018-09-16,Ozone,0.015339444444444442,20.0
2018-09-17,Ozone,0.01934655555555555,30.333333333333332
2018-09-18,Ozone,0.02546455555555556,42.666666666666664
2018-09-19,Ozone,0.03801922222222222,82.0
2018-09-20,Ozone,0.04242222222222222,59.666666666666664
2018-09-21,Ozone,0.03381700000000001,41.0
2018-09-22,Ozone,0.015125333333333333,22.0
2018-09-23,Ozone,0.018273333333333332,21.75
2018-09-24,Ozone,0.020886,21.416666666666668
2018-09-25,Ozone,0.01618292307692308,20.384615384615383
2018-09-26,Ozone,0.016399666666666667,18.2
2018-09-27,Ozone,0.014055333333333331,18.8
2018-09-28,Ozone,0.019548799999999995,33.8
2018-09-29,Ozone,0.022053866666666658,37.8
2018-09-30,Ozone,0.02315966666666667,40.2
2018-10-01,Ozone,0.015957666666666665,24.0
2018-10-02,Ozone,0.01395830769230769,23.23076923076923
2018-10-03,Ozone,0.020286133333333334,32.6
2018-10-04,Ozone,0.018536466666666664,33.6
2018-10-05,Ozone,0.0189738,34.8
2018-10-06,Ozone,0.021019733333333332,36.8
2018-10-07,Ozone,0.020033066666666665,36.8
2018-10-08,Ozone,0.023280133333333335,35.6
2018-10-09,Ozone,0.027128666666666672,32.6
2018-10-10,Ozone,0.0147064,20.2
2018-10-11,Ozone,0.016653599999999998,20.4
2018-10-12,Ozone,0.02766286666666667,34.6
2018-10-13,Ozone,0.02163333333333333,27.0
2018-10-14,Ozone,0.019573533333333334,23.4
2018-10-15,Ozone,0.012227133333333334,16.6
2018-10-16,Ozone,0.005580666666666665,8.533333333333333
2018-10-17,Ozone,0.023462833333333336,30.75
2018-10-18,Ozone,0.021947,32.0
2018-10-19,Ozone,0.0294388,38.8
2018-10-20,Ozone,0.02820346666666667,30.4
2018-10-21,Ozone,0.018207866666666666,29.0
2018-10-22,Ozone,0.015357133333333332,28.0
2018-10-23,Ozone,0.021591769230769227,33.46153846153846
2018-10-24,Ozone,0.026845615384615388,32.61538461538461
2018-10-25,Ozone,0.02196106666666667,25.2
2018-10-26,Ozone,0.01739113333333333,20.4
2018-10-27,Ozone,0.014322200000000002,22.0
2018-10-28,Ozone,0.023774866666666665,36.0
2018-10-29,Ozone,0.0214186,34.2
2018-10-30,Ozone,0.0349024,39.8
2018-10-31,Ozone,0.03586691666666666,37.0
2018-11-01,Ozone,0.027327,32.333333333333336
2018-11-02,Ozone,0.017856333333333335,24.0
2018-11-03,Ozone,0.019285666666666663,28.0
2018-11-04,Ozone,0.027856333333333334,31.0
2018-11-05,Ozone,0.025055333333333336,29.0
2018-11-06,Ozone,0.013241666666666665,28.0
