date_local,parameter,arithmetic_mean,aqi
2019-05-14,Carbon monoxide,0.333333,6.0
2019-05-15,Carbon monoxide,0.638889,10.0
2019-05-16,Carbon monoxide,0.545833,7.0
2019-05-17,Carbon monoxide,0.575,8.0
2019-05-18,Carbon monoxide,0.608333,8.0
2019-05-19,Carbon monoxide,0.520833,7.0
2019-05-20,Carbon monoxide,0.394118,7.0
2019-05-21,Carbon monoxide,0.345833,5.0
2019-05-22,Carbon monoxide,0.4,5.0
2019-05-23,Carbon monoxide,0.416667,8.0
2019-05-24,Carbon monoxide,0.570833,9.0
2019-05-25,Carbon monoxide,0.483333,7.0
2019-05-26,Carbon monoxide,0.529167,8.0
2019-05-27,Carbon monoxide,0.520833,7.0
2019-05-28,Carbon monoxide,0.45,6.0
2019-05-29,Carbon monoxide,0.4,5.0
2019-05-30,Carbon monoxide,0.45,6.0
2019-05-31,Carbon monoxide,0.441667,6.0
2019-06-01,Carbon monoxide,0.454167,7.0
2019-06-02,Carbon monoxide,0.458333,7.0
2019-06-03,Carbon monoxide,0.304167,5.0
2019-06-04,Carbon monoxide,0.370833,6.0
2019-06-05,Carbon monoxide,0.491667,6.0
2019-06-06,Carbon monoxide,0.425,6.0
2019-06-07,Carbon monoxide,0.229167,5.0
2019-06-08,Carbon monoxide,0.291667,5.0
2019-06-09,Carbon monoxide,0.35,5.0
2019-06-10,Carbon monoxide,0.341667,6.0
2019-06-11,Carbon monoxide,0.175,2.0
2019-06-12,Carbon monoxide,0.2625,3.0
2019-06-13,Carbon monoxide,0.241667,3.0
2019-06-14,Carbon monoxide,0.3625,6.0
2019-06-15,Carbon monoxide,0.3125,5.0
2019-06-16,Carbon monoxide,0.3,3.0
2019-06-17,Carbon monoxide,0.316667,5.0
2019-06-18,Carbon monoxide,0.275,3.0
2019-06-19,Carbon monoxide,0.333333,5.0
2019-06-20,Carbon monoxide,0.325,5.0
2019-06-21,Carbon monoxide,0.45,7.0
2019-06-22,Carbon monoxide,0.3375,5.0
2019-06-23,Carbon monoxide,0.329167,5.0
2019-06-24,Carbon monoxide,0.217647,3.0
2019-06-25,Carbon monoxide,0.233333,5.0
2019-06-26,Carbon monoxide,0.408333,6.0
2019-06-27,Carbon monoxide,0.185714,3.0
2019-06-28,Carbon monoxide,0.241667,5.0
2019-06-29,Carbon monoxide,0.366667,6.0
2019-06-30,Carbon monoxide,0.225,5.0
2019-07-01,Carbon monoxide,0.255,3.0
2019-07-02,Carbon monoxide,0.335714,5.0
2019-07-03,Carbon monoxide,0.42,6.0
2019-07-04,Carbon monoxide,0.4875,8.0
2019-07-05,Carbon monoxide,0.577778,8.0
2019-07-06,Carbon monoxide,0.433333,6.0
2019-07-07,Carbon monoxide,0.441667,6.0
2019-07-08,Carbon monoxide,0.425,6.0
2019-07-09,Carbon monoxide,0.4,5.0
